threshold,tn,fp,fn,tp,precision,recall,f1,false_negative_rate,false_positive_rate
0.05,84,116,9,191,0.6221498371335505,0.955,0.7534516765285996,0.045,0.58
0.1,98,102,17,183,0.6421052631578947,0.915,0.7546391752577319,0.085,0.51
0.15,113,87,20,180,0.6741573033707865,0.9,0.7708779443254818,0.1,0.435
0.2,119,81,24,176,0.6848249027237354,0.88,0.7702407002188184,0.12,0.405
0.25,127,73,26,174,0.7044534412955465,0.87,0.7785234899328859,0.13,0.365
0.3,134,66,27,173,0.7238493723849372,0.865,0.7881548974943052,0.135,0.33
0.35,140,60,31,169,0.7379912663755459,0.845,0.7878787878787878,0.155,0.3
0.4,145,55,32,168,0.7533632286995515,0.84,0.7943262411347518,0.16,0.275
0.45,149,51,34,166,0.7649769585253456,0.83,0.7961630695443646,0.17,0.255
0.5,152,48,39,161,0.7703349282296651,0.805,0.7872860635696821,0.195,0.24
0.55,153,47,43,157,0.7696078431372549,0.785,0.7772277227722773,0.215,0.235
0.6,158,42,46,154,0.7857142857142857,0.77,0.7777777777777778,0.23,0.21
0.65,160,40,50,150,0.7894736842105263,0.75,0.7692307692307693,0.25,0.2
0.7,167,33,53,147,0.8166666666666667,0.735,0.7736842105263158,0.265,0.165
0.75,167,33,59,141,0.8103448275862069,0.705,0.7540106951871658,0.295,0.165
0.8,170,30,62,138,0.8214285714285714,0.69,0.75,0.31,0.15
0.85,173,27,70,130,0.8280254777070064,0.65,0.7282913165266106,0.35,0.135
0.9,177,23,80,120,0.8391608391608392,0.6,0.6997084548104956,0.4,0.115
0.95,183,17,100,100,0.8547008547008547,0.5,0.6309148264984227,0.5,0.085
